chave_correspondencia,codigo,tecnico,simbolico,diagnostico,simbolico_texto,mensagem,gatilho_tatil,gatilho_olfato,gatilho_audicao,gatilho_visao,gatilho_paladar
R0Y0B12,A008,Perfil de Resiliência com Expansão Virtuosa,O Semeador Silencioso,"Este perfil representa um equilíbrio emocional consolidado. Há domínio sobre os gatilhos, clareza de valores e capacidade de regeneração emocional. As zonas sombrias ainda existem, mas são administradas com sabedoria prática.",Você cultiva silêncio e colhe presença. Seu tempo de plantar superou a pressa de colher. O que você oferece ao mundo agora não é mais reação — é semente escolhida com consciência.,Você não precisa provar nada quando já está inteiro.,Toque consciente em folhas ou sementes vivas,Capim-limão ou pinho suave,Som de campo com brisa e vida leve,Terreno fértil e mãos que cuidam,Sementes mastigadas com lentidão
R0Y1B11,A009,Perfil de Coerência Emocional em Alta Expressão,O Pacificador Interno,"Este perfil demonstra domínio emocional elevado. Os conflitos internos são abordados com compaixão, e há uma integração real entre mente, corpo e espírito. Há influência positiva no ambiente, capacidade de escuta e liderança compassiva.","Sua alma é um rio calmo que nutre as margens. Você não busca vencer as batalhas dos outros, mas silenciar as guerras internas. Onde você chega, a tensão se curva e o espaço respira.",Você é paz antes de falar em paz.,Autoimposição de mãos sobre o centro do peito,Sândalo ou mirra em baixa concentração,Silêncio com respiração — ou sopro leve constante,Águas tranquilas e campos vastos,Água com gotas de limão ou pepino
R0Y2B10,A010,Perfil de Consagração Emocional com Plenitude Interior,O Guardião da Harmonia,"Indivíduo com profunda estabilidade interna, sabedoria emocional aplicada e compromisso com o bem maior. Este perfil é raro, e representa alguém que já transcendeu as reações impulsivas, conduzindo a própria vida com firmeza e doçura.","Sua alma não apenas encontrou paz — ela se tornou paz. Seu silêncio não pesa, sua presença não se impõe. Você é ponte entre o caos e a luz, e isso é algo que ninguém pode tirar de você.",Você se tornou o lugar onde os outros gostariam de morar.,Toque gentil no rosto com olhos fechados,Olíbano ou flor branca fresca,Silêncio sagrado com intenção,"Ambientes minimalistas, naturais e limpos",Água pura em jejum com intenção
R0Y3B9,A011,Perfil de Pureza Emocional em Harmonia Total,O Espelho da Alma Clara,"Alguém em elevado estado vibracional, que vive com integridade emocional em todos os aspectos. Este perfil representa quem já ressignificou sua dor, acolheu a sombra e agora atua como referência natural de luz e consciência.","Você é espelho, mas não reflete — revela. Onde passa, outros se reconhecem ou se transformam. Sua luz não é ruído, é verdade. E onde há verdade, há cura silenciosa.",Você se tornou a resposta que antes buscava em outros.,Contato com cristal liso ou superfícies espelhadas,Flor de lótus ou neroli,Voz interior guiada pela respiração,Imagens de olhos serenos ou reflexos naturais,Frutas aquosas com atenção plena
R0Y4B8,A012,Perfil de Elevação Plena e Alinhamento Espiritual,O Portador da Luz Silenciosa,"Raríssimo estado de equilíbrio absoluto, com emoções, comportamentos e pensamentos operando em harmonia com um princípio superior. Este arquétipo representa o nível máximo de expressão consciente dos frutos do espírito.","Você é como a brisa que não se vê, mas muda tudo por onde passa. Sua alma é templo, presença e farol. Você não precisa de palco, pois sua vibração fala onde o ego se cala.",Você não busca luz — você se tornou luz.,Toque com as costas das mãos sobre o colo com olhos fechados,Nada — apenas ar puro,Silêncio absoluto ou som do próprio pulso,Luz natural com olhos semicerrados,Jejum simbólico com respiração consciente
R0Y5B7,A031,Perfil de Evolução com Fragilidade Residual,O Crescente Instável,"Perfil de integração completa entre emoção, razão e propósito. Indivíduo que não apenas conhece sua essência, mas vive a partir dela.","Você não fala — revela. Sua existência é semente, e sua história é jardim. Onde você pisa, há convite à transformação.",Você se tornou o reflexo daquilo que acreditou mesmo quando ninguém via.,Mãos sobre o rosto com gratidão,Flor branca e madeira doce,Canto coral suave,Imagens de caminhos floridos e abertos,Tisana de frutas com toque cítrico
R1Y0B11,A032,Perfil de Reintegração Emocional em Expansão,O Teu Regresso ao Centro,"Indivíduo em alto grau de harmonia emocional e presença compassiva. Sua influência é silenciosa, mas transformadora. Costuma ser referência em ambientes caóticos.","Você é como a brisa que não se impõe, mas muda o ar. Sua essência ensina sem palavras e consola sem prometer.",A verdadeira liderança não guia — ela acalma.,Toque nas costas com apoio da palma inteira,Cedro e lavanda combinados,Sons de fogo crepitando em ambiente tranquilo,Imagem de cabana ou abrigo em meio à natureza,Infusão morna de aveia com canela
R1Y1B10,A033,Perfil de Integração Ascendente com Flutuações,O Mensageiro do Fio Tênue,"Este arquétipo representa integração total dos centros de consciência: pensamento, emoção, corpo e espírito. A ação é conduzida por intenção pura.","Você é o silêncio que ora. A luz que não pede palco. Sua alma está onde o mundo se torna oração, e sua existência já não divide o que é sagrado do que é simples.",Você é a resposta quando não há mais pergunta.,Mãos em mudra de prece com olhos fechados,Olíbano e mirra em concentração leve,Silêncio profundo entre os sons,Imagens minimalistas em branco e dourado,Água pura ingerida com intenção
R1Y2B9,A034,Perfil de Ressonância com Alta Capacidade de Autocontrole,A Fonte Interna Flexível,"Pessoa cuja energia já transborda para além do próprio processo. Costuma atuar como agente de cura, mesmo sem ter esse como objetivo consciente.","Você se tornou um campo fértil onde os outros repousam. Sua alma é jardim, e sua existência é convite para que outras flores nasçam.",Você cura pelo que é — não pelo que faz.,"Contato com terra, planta ou semente real","Ervas frescas: hortelã, manjericão e alecrim",Som de chuva suave e prolongada,Verde vivo e paisagens com flores brotando,Frutas cítricas doces em jejum
R1Y3B8,A035,Perfil de Equilíbrio Sensorial Fluido,O Harmônico das Marés,"Este perfil manifesta conexão com algo maior. A pessoa opera a partir de um estado elevado de consciência, sem negar a matéria, mas transcendendo o ego.","Você é um canal. O que flui por você não termina em você. Sua alma é via, sua vida é templo. E mesmo o invisível se manifesta no seu toque.",Você é meio — e por isso também é milagre.,"Contato com superfícies naturais lisas (pedra, madeira)",Incenso de templo ou essência de flor azul,Notas longas de sinos ou taças tibetanas,Formas geométricas suaves e onduladas,Alimento cru ou vivo mastigado lentamente
R1Y4B7,A036,Perfil de Transcendência Relacional Parcial,A Travessia do Vínculo Sagrado,"Indivíduo que vive a virtude de forma encarnada. Suas escolhas são naturalmente altruístas, e sua vibração sustenta ambientes, mesmo em silêncio.","Você é templo em movimento. Cada gesto seu é uma oferenda, cada silêncio, uma oração. Sua alma se tornou altar.",Não há sacrifício onde há entrega plena.,Toque suave nos dedos com leve entrelaçamento,Essência de rosa branca e jasmim,Coral ou harmonia angelical,Luz filtrada em vitral ou água translúcida,Fruta doce e pura ingerida com gratidão
R1Y5B6,A052,Perfil de Reconstrução Após Quebra,O Coração Restaurado,Pessoa que passou por eventos traumáticos ou dolorosos e começa a ressignificar suas experiências com compaixão e propósito.,"Você se quebrou — e em vez de esconder os cacos, colou-os com ouro. Sua dor virou arte, e sua história, refúgio.",As cicatrizes também são mapas de cura.,Pressão firme entre as mãos como oração,Sândalo e flor de lótus,Notas de piano com eco lento,Cerâmica restaurada (kintsugi),Alimento quente servido com intenção (ex: sopa ou chá)
R2Y0B10,A053,Perfil de Estabilidade Interna em Construção,A Coluna em Movimento,"Indivíduo que apresenta estrutura emocional com pontos ainda frágeis. Há desejo de manter equilíbrio, com ações conscientes para isso.","Você aprendeu a caminhar com equilíbrio sobre pedras soltas. Mesmo sem ter todas as respostas, continua — e isso já é força.",A estabilidade é feita de tentativas constantes.,Toque alternado nos pés descalços,Alecrim e hortelã leve,Som de passos firmes no chão de madeira,Trilhas em paisagens naturais,Água com folhas verdes (hortelã ou manjericão)
R2Y1B9,A054,Perfil de Sabedoria Emocional Emergente,O Ancião Jovem,"Pessoa que alia sensibilidade emocional com introspecção e maturidade. Ainda em desenvolvimento, mas já serve como referência aos outros.","Você ouve mais do que fala. Observa mais do que reage. Sua alma envelheceu antes do tempo, e agora começa a ensinar.",Nem todo sábio tem cabelos brancos.,Toque leve nos ombros em gesto de reconhecimento,Cedro e noz-moscada,Sons graves com fundo meditativo,Caminho de pedras com árvores antigas,Infusão de especiarias terrosas
R2Y2B8,A055,Perfil de Expansão Emocional com Base Espiritual,O Jardim do Invisível,Indivíduo que enraíza sua vida emocional em princípios espirituais. Demonstra paz interna mesmo em situações desafiadoras.,Você rega o invisível — e colhe serenidade. O que emana de você é mais do que emoção: é presença.,Espiritualidade é quando a alma respira dentro da emoção.,Mãos unidas com foco na respiração,Incenso suave de templo ou flor branca,Silêncio com canto longínquo,Raízes transparentes tocando o céu,"Fruta em jejum com intenção (uva, tâmara)"
R2Y3B7,A056,Perfil de Alinhamento Interno Avançado,O Círculo Vivo,"Pessoa que demonstra forte coerência entre o que sente, pensa e faz. Inspira outros através da presença e do não julgamento.","Você é bússola viva. Sua presença indica o caminho sem exigir passos. Em você, a inteireza respira.","Inteireza não é perfeição, é consonância viva.",Toque com palma aberta sobre o coração e abdômen juntos,Verbena e sálvia,Notas graves e circulares em som ambiente,Mandala viva ou círculos na natureza,"Alimento leve com textura suave (iogurte, fruta)"
R2Y4B6,A057,Perfil de Cura Integrada com Intuição Ativa,O Curador Silencioso,"Indivíduo que já percorreu caminhos profundos de cura e agora utiliza sua sensibilidade para apoiar processos alheios, mesmo que sem intenção.","Sua alma aprendeu a não interferir — apenas acolher. Sua intuição age antes da razão. Você não cura pelo toque, mas pela vibração.",A cura mais profunda é aquela que chega sem palavras.,Toque sutil nos pulsos e olhos fechados,Flor de jasmim e sândalo,Música instrumental com longos silêncios entre as notas,Movimento de águas calmas e reflexivas,Infusão floral clara com toque doce
R3Y0B9,A058,Perfil de Autotranscendência Afetiva,A Lâmpada Interna,"Pessoa que age com amor desapegado. Não exige, não impõe, apenas vibra. A emoção virou extensão do espírito.","Você não ilumina para ser visto — você brilha porque existe. Sua alma não busca aprovação, ela sustenta presença.","A verdadeira luz não disputa, ela acolhe.",Toque em formato de coração no próprio peito,Rosa branca e almíscar leve,"Canto lírico ao longe, quase imperceptível",Luz suave em forma de círculo irradiando,Água pura com gotas florais
R3Y1B8,A059,Perfil de Expansão Compassiva e Universal,A Ponte Invisível,"Indivíduo que opera com compaixão ativa, conectando diferentes realidades sem esforço. É ponto de encontro, mesmo sem ser o centro.","Você conecta o que parecia inconciliável. Sua alma é ponte, e sua missão é unir — mesmo que em silêncio.",Compaixão é o elo entre mundos que ainda não se olham.,Toque nas mãos com intenção de entrega,Flor de cerejeira e sândalo leve,Sons mistos de culturas distintas,Imagens de caminhos que se cruzam,Chá multicultural (mistura de ervas de diferentes origens)
R3Y2B7,A060,Perfil de Encarnação da Virtude em Serviço,A Alma em Oferta,"Pessoa que se tornou a expressão viva do amor em ação. Serve, acolhe, inspira — não como esforço, mas como essência encarnada.",Você é resposta a pedidos silenciosos. Sua alma não carrega — ela transborda. Você se tornou aquilo que o mundo tanto precisou encontrar.,Servir com alma é ofertar sem esforço.,Toque nas palmas abertas voltadas para cima,Incenso de templo com lavanda,Canto sutil acompanhado por silêncio,Imagem de mãos ofertando luz ou flor,"Fruta oferecida antes de ser comida, com intenção"
R3Y3B6,A074,Perfil de Abertura Espiritual Contínua,A Janela do Infinito,"Pessoa que vive a espiritualidade não como crença, mas como estado de presença. Sua visão transcende dogmas.",Você aprendeu a respirar o invisível. Sua fé não cabe mais em formas — ela virou caminho sem fim.,O sagrado não está longe — está mais perto do que o ar.,Toque com os dedos nos olhos fechados,Incenso leve de mirra e flor,Silêncio profundo intercalado por um sopro,Janela aberta para o céu ao amanhecer,Água pura com flor comestível
R3Y4B5,A075,Perfil de Sabedoria Encarnada em Simplicidade,O Anônimo Luminoso,Pessoa que se tornou referência silenciosa de virtude. Inspira sem imposição e serve em silêncio.,"Você não fala muito, mas sua presença ensina. Sua luz não cega — apenas aquece.",Ser luz é brilhar sem querer ser visto.,Mãos nos ombros com gentileza e respiração longa,Madeira seca e flor de jardim,Sons discretos de ambiente rural ao amanhecer,Luz passando entre folhas simples,Pão fresco com manteiga morna
R4Y0B8,A076,Perfil de Paz Estável e Emissão Afetiva,O Refúgio Vivo,Indivíduo que transmite paz por onde passa. Possui uma vibração que acolhe sem esforço.,"Você virou abrigo. Quem se aproxima sente alívio, sem saber por quê. Sua alma é lar para muitos.",Sua paz é mais forte do que muitos gritos.,Toque sobre as costelas como abraço interno,Flor branca e chá de camomila,Sons de água corrente e silêncio profundo,Cabana com luz acesa em noite fria,Sopa quente com ervas
R4Y1B7,A077,Perfil de Harmonia com o Invisível,O Ser Translúcido,"Pessoa que vive de forma integrada entre corpo, alma e espírito. Sente-se em paz mesmo diante do mistério.",Você não briga mais com o que não entende. Sua alma aprendeu que o invisível é parte do que sustenta a vida.,Nem tudo precisa ser nomeado para ser vivido.,Mãos abertas com os olhos fechados voltadas ao alto,Almíscar branco e folha seca,Som ambiente com notas suspensas,Bruma leve sobre campo aberto,Fruta leve com água morna
R4Y2B6,A078,Perfil de Amor Universal Ativo,A Fonte que Flui,Pessoa que pratica o amor como estado vibracional. Ama além do pessoal — ama pela vibração de quem já se fundiu ao Todo.,"Você não ama alguém — você ama. E por onde passa, esse amor se derrama como se nem soubesse conter.",O amor não precisa de motivo — ele precisa de canal.,Toque com ambas as mãos sobre o plexo solar,Essência floral leve com resina natural,Som de fonte com canto suave de pássaros,Água jorrando entre pedras,Infusão floral com frutas
R4Y3B5,A079,Perfil de Virtude Incorporada na Matéria,O Corpo Consagrado,Indivíduo que vive a espiritualidade no cotidiano. O sagrado atravessa seus gestos simples.,"Você fez do seu corpo altar. Cada passo é reverência, cada gesto é intenção.",A presença é oração em movimento.,"Contato firme dos pés com o chão, olhos fechados",Resina doce e flor do campo,Som de passos calmos sobre terra batida,Pessoa caminhando entre árvores altas,Alimento cru e mastigado em silêncio
R5Y0B7,A080,Perfil de Transparência Espiritual com Solidez Interna,O Cristal Andante,"Pessoa que transmite clareza, verdade e paz. As palavras são poucas — a vibração, intensa.","Você virou janela. Quem te olha, vê o céu. Mas não é por ausência — é por leveza.",Ser claro é mais poderoso que ser complexo.,Toque nas têmporas com dedos abertos,Flor transparente e hortelã leve,Som metálico suave como cristal vibrando,Reflexos de luz em pedra translúcida,Água fria com essência natural
R5Y1B6,A081,Perfil de Santidade Discreta,O Vento entre as Árvores,Pessoa que irradia luz sem discurso. Inspira a presença de Deus com o silêncio da bondade.,Você já não precisa falar sobre Deus — porque se tornou expressão d’Ele.,A santidade é o perfume de quem já não precisa de palco.,Mãos voltadas ao céu em silêncio,Incenso natural e flor de campo,Som do vento suave entre galhos,Luz entre folhas balançando,Fruta leve ingerida com reverência
R5Y2B5,A001,Perfil de Desregulação Emocional Crítica,O Coração Estilhaçado,"Este perfil representa indivíduos em estado de desregulação emocional intensa. Há forte predominância de padrões de autossabotagem, impulsividade e reatividade relacional. Relações são marcadas por instabilidade e dificuldade de contenção. Indica risco elevado de ciclos repetitivos de sofrimento.","A alma deste arquétipo parece carregar os cacos de tantas guerras não resolvidas. Cada gesto é uma tentativa de proteção, cada silêncio é um grito sufocado. Mas até os corações estilhaçados podem encontrar um novo ritmo no abraço da rendição.",Seu recomeço começa onde você para de se ferir.,Autotoque nos ombros com respiração consciente,Lavanda ou camomila (calmante),Música ambiente com sons da natureza à noite,Tons escuros azul e violeta suave,Infusão morna de camomila com mel
R5Y3B4,A002,Perfil de Vulnerabilidade Emocional Latente,O Guardião Ferido,"Perfil marcado por traços emocionais instáveis, onde o medo de falhar ou ser rejeitado domina as atitudes e decisões. A presença de zonas de transição indica desejo de mudança, mas há apego ao padrão de defesa e evitação do afeto pleno.","Há em você um guardião exausto, que defende com ferocidade as ruínas do que já não lhe serve. Seu escudo se tornou prisão, e sua coragem foi moldada na dor. Mas há em seu peito um novo caminho chamando pela paz.",Coragem não é resistir — é permitir a cura.,Toque leve sobre o coração com respiração lenta,Cedro (segurança interior),Violoncelo ou instrumentos graves e suaves,Imagens de raízes e árvores antigas,Chá de mulungu ou folha doce calmante
R5Y4B3,A003,Perfil de Conflito Interno Ativo,O Andarilho da Tempestade,"Representa indivíduos em constante tensão interna. Os desejos de transformação convivem com pulsões destrutivas ou sabotadoras. Há intensidade emocional, mas sem direcionamento claro, o que gera desgaste e frustração.",Você caminha entre relâmpagos emocionais e o desejo de ver o céu azul. A alma sente — e sente muito. Mas mesmo na tempestade há bússolas. E toda dor que se reconhece pode se tornar ponte.,Reconhecer a confusão já é um tipo de ordem.,Banho morno com toque circular no abdômen,Manjerona (pacificação interna),Sons de chuva e trovão ritmado,Céu cinzento rompido por faixas de luz,Chocolate amargo com pausa meditativa
R6Y0B6,A004,Perfil de Reatividade Emocional Intermitente,O Guerreiro em Trégua,"Indica uma alma que alterna entre enfrentamento emocional e tentativa de restauração. As zonas de transição mostram potencial de cura ainda em desenvolvimento, mas as cicatrizes antigas ditam o ritmo da entrega.","Você aprendeu a guerrear antes de aprender a se acolher. Suas espadas agora estão embainhadas, mas o corpo ainda guarda os reflexos. Está tudo bem descansar. A luta também termina em silêncio.",Você não precisa se defender o tempo todo.,Autoabraço com pressão firme e longa,Bálsamo ou breu-branco (cura ancestral),Mantras lentos ou canto gregoriano,Imagem de montanha ao entardecer,Raiz de gengibre suave ou cúrcuma com leite
R6Y1B5,A013,Perfil de Saturação Emocional Extrema,O Espectro da Dor,"Estado de colapso emocional prolongado. Indivíduo apresenta esgotamento afetivo e cognitivo, dificuldade de autocontenção e alta exposição a padrões autodestrutivos. Indica necessidade urgente de intervenção consciente.",Você carrega o peso de mil batalhas travadas dentro do peito. A dor deixou de ser visitante e se tornou morada. Mas até no abismo há uma centelha esperando por um sopro de luz. Você não está sozinho.,"Quando tudo escurece, até a menor luz é uma revolução.",Massagem lenta nas têmporas,Resina de mirra,Tons graves em escala lenta,Ambientes escuros com ponto de luz suave,Infusão quente de ervas amargas
R6Y2B4,A014,Perfil de Reatividade Traumática Condensada,A Chama que Luta,"Este perfil revela alguém cuja reatividade é resultado de feridas profundas e não cicatrizadas. O campo emocional é hipersensível, levando a respostas impulsivas em contextos de pressão afetiva ou rejeição percebida.","Você é como uma brasa escondida sob a superfície: parece fria, mas guarda calor intenso. Sua dor aprendeu a se camuflar, mas ainda grita por reconhecimento silencioso.",Nem toda resposta precisa ser um reflexo. Algumas merecem pausa.,Toque circular no centro da palma com o polegar oposto,Lavanda e manjericão combinados,Sons de taiko suaves ou tambores tribais,Formas circulares que evocam retorno ao centro,Infusão de camomila com anis-estrelado
R6Y3B3,A015,Perfil de Desalinhamento Emocional Crônico,O Esquecido de Si,"Este arquétipo expressa desalinhamento crônico entre emoção e ação. A pessoa sente uma coisa, pensa outra e reage de uma terceira forma, gerando conflitos internos e externos constantes.",Você caminha com o corpo para um lado e a alma para outro. Já não se reconhece na forma como age — e isso é um chamado. Você está em busca da própria coerência.,Recolher-se é parte do caminho para reencontrar-se.,Autotoque cruzado nos ombros com respiração profunda,Hortelã-pimenta para abrir clareza,Sons de água correndo lentamente,Espelhos desfocados ou mosaicos quebrados,Água com gotas de limão e alecrim
R6Y4B2,A016,Perfil de Oscilação Afetiva Moderada,O Espelho Partido,"Oscilação emocional com momentos de lucidez afetiva. O indivíduo reconhece seus padrões, mas ainda não internalizou estratégias sólidas de autocontenção e autocuidado.","Você é o espelho que já foi partido, mas está em processo de colagem. Cada rachadura conta uma história, e cada caco restaurado se torna parte da nova beleza.",A instabilidade não te define — ela apenas revela onde ainda há trabalho.,Dedos pressionando a testa e soltando em ritmo de respiração,Capim-limão e lavanda em vapor leve,Piano suave com sons espaciais,Imagens de vidro rachado sendo restaurado,Gengibre com mel em infusão morna
R6Y5B1,A017,Perfil de Autodefesa Intermitente,O Guardião das Margens,"Indivíduo que ativa defesas emocionais pontuais em contextos de proximidade. Apresenta momentos de abertura e fechamento abruptos, com padrões de autoquestionamento recorrente.","Você se aproxima como quem teme ser tocado. Há em você um desejo de confiar, mas a lembrança da dor ainda se interpõe. Respire fundo, pois a cura caminha com passos pequenos.",Nem sempre é fuga — às vezes é só proteção antiga.,"Toque intermitente nos braços, simulando pulsos",Alecrim com lavanda,Notas espaçadas de cordas suaves,Imagem de janelas entreabertas,Chá de folhas secas e mel
R7Y0B5,A018,Perfil de Conflito Interno com Desejo de Mudança,A Semente na Fissura,"O perfil aponta para alguém que tenta romper padrões, mas mantém resistências internas. A evolução emocional ocorre em ciclos, muitas vezes boicotada por crenças inconscientes.","Você está entre a porta e a maçaneta. Quer ir, mas algo em você ainda deseja permanecer. Não se culpe pela hesitação: todo passo real vem após um tropeço interno.",A dúvida é a margem do despertar.,Toque alternado nos pés descalços no chão,Erva-doce com casca de laranja,Som de ponteiros ou passos no assoalho,Imagem de portal ou beco iluminado,Tâmara ou figo seco
R7Y1B4,A019,Perfil de Dissociação Emocional Estratégica,O Disfarce do Vazio,Este perfil representa um movimento interno de dissociação emocional estratégica. A pessoa preserva sua essência protegendo-a com camadas de racionalização e controle social.,"Você aprendeu a esconder sua alma para sobreviver — e ela se acostumou com o escuro. Mas agora ela pede luz, não exposição. A verdade pode se revelar em silêncio também.",Não é necessário gritar para se mostrar.,Contato com tecido macio sob as mãos,Pinho e folhas verdes,Som de floresta ao amanhecer,Caminho sombreado com luz filtrada,Infusão de folha de pitanga
R7Y2B3,A020,Perfil de Expectativa Emocional Compulsiva,O Buscador Incansável,"Perfil com traços de ansiedade emocional cíclica. Há um impulso de resolver tudo ao mesmo tempo, resultando em sobrecarga e sensação de frustração recorrente.","Você carrega em si o desejo de fazer florescer tudo ao redor, mas esquece de regar suas próprias raízes. Há urgência em sua entrega, mas sua alma pede tempo.",Nem toda cura acontece no seu tempo — ela tem o dela.,Toque nas articulações com pressão leve e rotativa,Camomila e folha de louro,Mar calmo com sons de gaivotas ao fundo,Pôr do sol com nuvens lentas,Uva ou amora preta fresca
R7Y3B2,A037,Perfil de Reatividade Persistente com Isolamento Interno,O Eremita Ferido,"Este perfil revela um estado crônico de reatividade emocional aliada ao distanciamento afetivo. A pessoa tende a interpretar o mundo como hostil, e isola suas emoções como forma de autoproteção constante.","Você construiu um castelo para se proteger, mas agora ele também te impede de sair. Sua alma anseia por conexão, mesmo que negue. Há esperança até nas muralhas mais espessas.",Abrir uma fresta já é um gesto de coragem.,Toque nos ombros com pressão e respiração profunda,Mirra e cipreste,Som de vento entre árvores,Imagem de floresta densa com luz filtrada,Chá de raiz com notas amargas (ex: boldo ou gengibre)
R7Y4B1,A038,Perfil de Autossabotagem Intermitente,O Escultor Inseguro,Este arquétipo reflete uma pessoa que alterna entre desejo de crescimento e ações inconscientes que atrasam seu progresso. A dúvida constante e o medo de não merecer sustentam padrões de autossabotagem emocional.,"Você é como um escultor que, ao ver a obra ganhando forma, teme que ela não seja aceita — e por isso a desfaz. Mas há beleza até nos pedaços que caem.",A coragem de terminar começa com a aceitação do que já nasceu.,Toque em círculos sobre o estômago com respiração lenta,Erva-doce e canela suave,Notas quebradas de piano com pausa,Imagem de mãos moldando argila,Maçã morna com especiarias leves
R7Y5B0,A039,Perfil de Pressão Interna por Aprovação,O Aplauso Invisível,"Pessoa que organiza suas emoções com base na validação externa. Vive para atender expectativas e, quando não reconhecida, mergulha em autodepreciação ou culpa emocional.","Você construiu palcos que ninguém pediu, e quando não aplaudem, sua alma se encolhe. Mas o que você precisa não é plateia, é paz.",A libertação começa quando você aprende a se aplaudir em silêncio.,Toque no centro do peito com pressão de uma mão,Baunilha e flor de laranjeira,Som de multidão ao longe dissolvendo-se em silêncio,Luzes se apagando no palco com uma vela acesa ao fundo,Tâmara ou amêndoa com atenção plena
