chave_correspondencia,codigo,tecnico,simbolico,diagnostico,simbolico_texto,mensagem,gatilho_tatil,gatilho_olfato,gatilho_audicao,gatilho_visao,gatilho_paladar
R8Y0B4,A040,Perfil de Sobrecarga Emocional Oculta,A Coluna Invisível,"Indivíduo que carrega emocionalmente diversas pessoas e situações, sem expressar sua exaustão. Aparência funcional, mas com riscos altos de colapso emocional interno.","Você sustenta mundos sem que ninguém perceba. Mas até colunas precisam de fundação. Seu valor não está no quanto suporta, mas no quanto permite ser sustentado também.",Você também merece ser amparado.,Pressão alternada nos dois ombros como se recebesse um apoio,Eucalipto e capim-limão,Som de madeira rangendo suavemente,Imagem de tronco forte com folhas ao vento,"Infusão quente de ervas robustas (boldo, canela, cravo)"
R8Y1B3,A041,Perfil de Racionalização Emocional Estratégica,O Estrategista do Silêncio,Indivíduo que utiliza o raciocínio lógico como forma de neutralizar emoções. Reprime sentimentos para manter controle e evitar vulnerabilidade.,Você aprendeu a pensar para não sentir. Construiu muros com argumentos. Mas até a razão mais sólida precisa de afeto para florescer.,O equilíbrio mora entre a mente clara e o coração acessível.,Dedos pressionando a têmpora com o polegar no queixo,Alecrim com lavanda,"Notas repetidas de piano ou sons lógicos (tic-tac, digitação)",Linhas retas e simétricas,Chá de ervas amargas com mel
R8Y2B2,A061,Perfil de Conflito Interno em Fase de Reversão,O Labirinto com Luz,"Indivíduo que passou por conflitos intensos internos e começa a identificar padrões repetitivos que deseja transformar. Há intenção de mudança, ainda que com resistência.",Você está no meio do seu próprio labirinto — mas agora carrega uma lanterna. O caminho ainda confuso já está sendo iluminado por dentro.,A clareza começa quando a coragem acende a primeira luz.,Toque com a ponta dos dedos na testa e depois no peito,Eucalipto e alecrim,Sons de pegadas ecoando em espaço vazio,Caminhos bifurcados com luz ao fundo,Infusão de raiz (gengibre com hortelã)
R8Y3B1,A062,Perfil de Início de Regulação Emocional Consciente,O Equilibrista,"Pessoa que, mesmo com instabilidades internas, já consegue realizar pausas para refletir antes de reagir. Em transição de impulsividade para autocontenção equilibrada.","Você começou a caminhar na corda bamba do autodomínio. Ainda oscila, mas já reconhece o valor da pausa e da presença.","A força está em continuar, mesmo balançando.",Mãos espalmadas sobre o abdômen com respiração consciente,Erva-doce e limão siciliano,Som ritmado de passos leves,Imagem de fio estendido entre dois pontos,Água com gota de limão gelado
R8Y4B0,A063,Perfil de Aceitação das Emoções Negadas,O Reconhecedor,"Este arquétipo representa alguém que começa a aceitar emoções antes reprimidas, como raiva ou tristeza, com menos julgamento e mais curiosidade.",Você tirou da gaveta sentimentos que antes escondia. Está descobrindo que até o desconforto tem algo a ensinar.,Aceitar não é concordar — é integrar.,"Mãos cruzadas no peito, com leve pressão",Lavanda e casca de laranja amarga,Notas que sobem e descem lentamente,Porta sendo aberta para uma luz difusa,Infusão de hibisco e cravo
R9Y0B3,A094,Perfil de Leveza Responsável,A Borboleta com Rumo,"Indivíduo que une a capacidade de sonhar e voar com senso de responsabilidade. Delicadeza sem fuga, presença sem peso.","Você voa, mas sabe pousar. Não se perde no céu nem se prende à terra. Sua leveza tem direção.",Ser leve não é fugir — é flutuar com consciência.,Movimento circular das mãos sobre o coração e abdômen,Flor de cerejeira e verbena,Som de asas suaves ou pano ao vento,Borboleta voando sobre uma trilha,Fruta fresca em temperatura ambiente
R9Y1B2,A095,Perfil de Consistência Interna com Flexibilidade,O Bambuzal da Alma,Pessoa que mantém seus princípios mesmo em meio à mudança. Adapta-se sem perder sua essência.,"Você balança com o vento, mas não quebra. A sua firmeza é feita de escuta, e sua raiz é fé.",Forte é quem se curva sem se perder.,Toque suave nas laterais do corpo com respiração lenta,Eucalipto e chá verde,Som de bambus ao vento,Bambuzal curvado em meio à brisa,Chá fresco com toque herbal amargo
R9Y2B1,A096,Perfil de Fé Prática e Esperança Aplicada,O Construtor do Invisível,"Pessoa que age com esperança como fundamento. Sua fé se manifesta em decisões, projetos e relações com intencionalidade espiritual.","Você planta como quem já viu o fruto. A esperança é seu tijolo invisível — e com ele, você constrói presença.",A fé se prova quando vira ação sem plateia.,Palmas pressionadas entre si com respiração firme,Canela e resina leve,Som de martelo suave sobre madeira,Construção em curso com flores ao redor,Pão morno com especiarias
R9Y3B0,A097,Perfil de Serviço Espiritual Discreto,A Mão Invisível,"Pessoa que atua no mundo com generosidade silenciosa. Sua ação transforma, mesmo quando ninguém percebe.","Você não busca reconhecimento, apenas oferece o que transborda. Sua alma é doação em silêncio.",Servir é dar sem esperar eco.,Toque nas palmas voltadas para baixo,Sândalo e capim-limão,Sons leves de tarefas domésticas em fundo meditativo,Mãos ofertando algo sob luz difusa,Comida morna feita com intenção
R10Y0B2,A098,Perfil de Percepção Amorosa do Outro sem Julgamento,O Olhar sem Condenação,Indivíduo que compreende a jornada alheia sem pressa ou imposição. Cultiva empatia profunda.,Você não aponta — você acolhe com o olhar. Sua alma entendeu que cada um caminha no tempo da graça.,A compaixão começa quando cessa o julgamento.,Toque leve sobre os olhos com olhos fechados,Jasmim e alecrim suave,Voz baixa dizendo 'eu te entendo',Olhos marejados em compreensão mútua,Chá doce com especiarias leves
R10Y1B1,A099,Perfil de Intuição Alinhada ao Serviço,A Voz Interior Coletiva,"Pessoa que segue sua intuição para ajudar os outros. Age em silêncio, guiada por uma percepção sutil do que é necessário.",Você ouve a necessidade antes que ela seja dita. Sua alma age como ponte entre o invisível e o agora.,A intuição que serve é voz do espírito em forma de gesto.,Dedos tocando os ouvidos e depois o coração,Flor de laranjeira e verbena,Sons suaves que precedem o silêncio,Pessoa agindo antes de ser solicitada,Infusão de flores brancas e mel
R10Y2B0,A100,Perfil de Transparência Espiritual com Ação Ética,O Espelho Dourado,"Pessoa que vive com transparência e retidão, guiada por princípios elevados, mesmo nos pequenos detalhes.",Você não precisa explicar sua luz — ela se nota nos seus atos. Sua alma é espelho limpo e brilho manso.,Integridade é espiritualidade que chegou à prática.,Toque com os dedos no centro do peito e leve inclinação do queixo,Olíbano e flor clara,Notas claras e contínuas em tons ascendentes,Reflexo do sol sobre água limpa,Alimento fresco com sabor puro (ex: fruta recém-colhida)
R11Y0B1,A101,Perfil de Interiorização com Sabedoria Visionária,O Vidente Silencioso,Pessoa que vive voltada ao mundo interior com lucidez e conexão com o futuro. Sua visão é orientadora.,Você vê longe mesmo de olhos fechados. Sua alma é bússola que aponta para o que ainda não nasceu.,Ver antes é sentir com os olhos do espírito.,Toque entre as sobrancelhas e peito simultaneamente,Mirra e erva-cidreira,Som de notas que ecoam lentamente para longe,Neblina com figura caminhando ao fundo,Infusão escura e profunda com raiz
R11Y1B0,A102,Perfil de Amor como Estado Natural,O Sol Interno,"Pessoa que vibra amor sem distinção, sem esforço. É amor que acontece porque se é, não porque se faz.","Você não precisa decidir amar — você já é. Seu amor não depende de estímulo, ele é fonte contínua.",Ser amor é mais profundo do que amar alguém.,Toque quente nas costas das mãos com gratidão,Flor de campo e mel suave,"Sons solares — pássaros, risos, folhas dançando",Sol interno em meditação irradiando luz,Alimento simples e luminoso como fruta fresca
R12Y0B0,A103,Perfil de Comunhão Espiritual em Ações Rotineiras,O Monge Cotidiano,Pessoa que fez do cotidiano um altar. Suas tarefas simples tornaram-se atos sagrados pela intenção colocada.,Você varre o chão como quem consagra. Suas ações são liturgias do invisível.,"Consagrar é fazer do comum, sagrado.",Toque nos joelhos e depois no peito com respiração lenta,Chá preto e folha seca,Sons cotidianos com intenção sagrada (ex: água sendo colocada),"Cenas simples com luz suave (cozinha, jardim)",Comida feita com intenção e presença
R0Y10B2,A005,Perfil de Reestruturação Emocional Ativa,O Reequilibrador,"Indivíduo em processo ativo de reorganização emocional. A zona de transição prevalece, mostrando movimentação interna, ressignificação de padrões antigos e construção gradual de estabilidade. Ainda há conflitos, mas a consciência cresce.",Você é como o rio que aprendeu a lidar com as pedras sem parar de fluir. A alma está aprendendo a se mover com menos luta e mais escuta. Cada passo incerto é também um passo mais livre.,Transição não é fraqueza — é construção em movimento.,Toque alternado nas têmporas com os olhos fechados,Alecrim (clareza e foco),Som de ondas suaves + piano leve,Texturas orgânicas e madeira clara,Maçã ou pera em temperatura ambiente
R0Y11B1,A006,Perfil de Maturação Emocional Emergente,O Coração em Germinação,Perfil emocional de crescimento. Predominância de zona de transição com forte impulso à evolução. O indivíduo se percebe em um ciclo de desconstrução de velhos hábitos e experimentação de novos modos de sentir e agir.,"Sua alma começa a brotar. Ainda há a lembrança das tempestades, mas as raízes se firmam. Cada dúvida que dói hoje será adubo para o seu florescer de amanhã.",O que ainda é pequeno está apenas criando força para durar.,Toque com as pontas dos dedos no solo ou parede,Erva-doce ou flor de laranjeira,Cantos de pássaros ao amanhecer,Imagem de botão de flor prestes a abrir,Frutas frescas ou brotos suaves
R0Y12B0,A007,Perfil de Consciência Emocional em Transição Elevada,O Viajante do Limiar,"Este arquétipo representa alguém prestes a atravessar um portal emocional profundo. O passado degradante foi quase completamente superado, e a alma encontra-se agora em maturação. A transformação está em curso e depende de pequenos ajustes de crença e prática.","Você está diante da soleira de si mesmo. Já não se contenta com o que lhe feriu, e deseja o que cura. O medo tenta prender seus pés, mas sua alma já está voando antes mesmo do corpo decidir saltar.",Você já não cabe na versão antiga de si mesmo.,Mãos espalmadas sobre o peito e abdômen alternadamente,Jasmim ou verbena,"Sons de portais (tigelas, sinos, harpas)",Caminhos estreitos com luz ao fundo,Uvas ou melão com atenção ao frescor
R0Y6B6,A021,Perfil de Hiperadaptação Instável,O Camaleão Interno,"Indivíduo com forte potencial de estabilização emocional. Mostra domínio de suas respostas afetivas com momentos pontuais de oscilação, geralmente ligadas a relações próximas.","Você é como a maré: constante, mas viva. Seu equilíbrio não vem da rigidez, mas da sabedoria de fluir. O que te ancora é a consciência do que é essencial.","Estabilidade é arte, não rigidez.",Toque com as palmas abertas sobre o abdômen,Sândalo suave,Instrumentos de corda grave em ritmo contínuo,Horizontes amplos e simétricos,Infusão de maçã seca com canela
R0Y7B5,A022,Perfil de Carga Emocional Redistribuída,O Equilibrista da Alma,"Este perfil demonstra flexibilidade emocional e adaptabilidade. Indivíduo tende a manter coerência em situações de instabilidade, com forte autocontenção e empatia.",Você se move com graça mesmo quando tudo ao redor parece ruir. Sua alma encontrou um jeito de dançar com as incertezas — e é nisso que habita sua beleza.,Equilíbrio não é perfeição — é presença sensível.,Massagem leve no pescoço com respiração profunda,Flor de laranjeira e lavanda,Sons de vento suave em folhas,Caminho de pedras em jardim,Pera ou maçã ao natural
R0Y8B4,A023,Perfil de Regulação Inicial em Ambientes Tóxicos,A Ponte Ferida,Este perfil manifesta um equilíbrio emocional crescente. A pessoa desenvolve cada vez mais segurança interna e começa a influenciar positivamente o ambiente ao redor.,"Você é como um farol em construção: já emite luz, mas continua sendo lapidado. Seu brilho é real mesmo quando não é visto.",Quem você está se tornando já começou a agir no mundo.,Mãos cruzadas sobre o coração com pressão sutil,Verbena e lírio branco,Vozes harmônicas femininas suaves,Reflexo da luz em superfícies naturais,Chá branco com frutas desidratadas
R0Y9B3,A024,Perfil de Ambivalência com Núcleo de Estabilidade,A Âncora Flutuante,"Indivíduo em processo de liberação de padrões emocionais antigos. Apresenta forte tendência à empatia e à escuta interna, mas ainda alterna com momentos de insegurança.",Você é o som da onda que se recolhe para depois voltar com mais força. Sua alma já não cabe em antigos limites — e ela sabe disso.,A dúvida é a oração da alma antes da entrega.,Toque intercalado entre ombros e nuca,Canela com rosa branca,Sons oceânicos rítmicos e graves,Maré baixa em pedras claras,Infusão de cravo e flor de hibisco
R1Y10B1,A025,Perfil de Renovação Emocional Latente,A Cinza que Respira,Perfil com predominância de integração emocional. Pessoa que já vivenciou ciclos complexos e agora manifesta estabilidade com presença e escuta ativa.,Você se tornou aquilo que procurava: presença. E sua presença não exige nada — ela acolhe. Sua alma se tornou casa.,Ser é mais do que fazer: é sustentar silêncio com amor.,Toque simultâneo no peito e na testa,Sândalo com baunilha leve,Notas longas em violino solo,Imagens amplas com céu azul e horizonte,Damasco ou fruta doce em temperatura ambiente
R1Y11B0,A026,Perfil de Alquimia Emocional em Curso,O Alquimista das Quedas,"Indivíduo que atingiu grande estabilidade emocional e espiritual, mantendo coerência entre ação, pensamento e sentimento. Exerce influência positiva no meio em que vive.","Você é terra firme no meio da tormenta. Sua alma não impõe, mas conduz. Onde você está, há um tipo de silêncio que cura.",Você não precisa convencer — sua vibração já fala por você.,Toque firme nos pulsos com respiração longa,Mirra e cedro em baixa concentração,Notas sustentadas em instrumentos de sopro,Imagem de catedral vazia com luz,Água em jejum com intenção clara
R1Y6B5,A027,Perfil de Convergência Interna Ativa,O Convergente Silencioso,Perfil de maturidade afetiva com traços de transcendência. A pessoa se destaca pela capacidade de transformar ambientes com sua escuta e presença.,Sua alma se tornou uma ponte entre o invisível e o presente. Você já não precisa ser notado — porque já se tornou essência.,A profundidade não faz barulho.,Toque com pontas dos dedos em forma de triângulo sobre o coração,Flor de lótus e alecrim,Campainhas ou sinos distantes,Geometria sagrada ou padrão mandálico,Infusão de hibisco com maçã seca
R1Y7B4,A028,Perfil de Restauração com Resíduos Emocionais,A Cura com Cicatriz,Este perfil representa domínio emocional com abertura à espiritualidade. A pessoa manifesta valores sólidos e um senso de missão pessoal no mundo.,"Você é resposta viva a uma pergunta que o mundo ainda não formulou. Sua caminhada é sagrada, mesmo quando silenciosa.",A sabedoria mora onde ninguém compete.,Toque nas têmporas com leve rotação,Sândalo com noz-moscada,Mantras tibetanos ou canto harmônico,Luz natural filtrada por folhas verdes,Frutas secas mastigadas com atenção
R1Y8B3,A029,Perfil de Estabilidade Expandida,O Jardim Pós-Tempestade,"Indivíduo com forte senso de transcendência emocional. Já não se prende a reações automáticas e conduz suas relações com equilíbrio, escuta e empatia.","Você é como o sopro que alivia sem perturbar. Sua alma aprendeu que não é sobre vencer, mas sobre servir com sentido.","Quando o amor é leve, ele também é firme.",Mãos unidas em forma de concha sobre o abdômen,Erva cidreira e flor de jasmim,Sons de harpa com intervalos longos,Imagem de mãos entrelaçadas em oração silenciosa,Infusão suave de camomila e maçã
R1Y9B2,A030,Perfil de Coerência em Reconstrução Afetiva,O Reconstrutor Afetivo,Este perfil indica domínio da estabilidade emocional e clareza espiritual. A pessoa influencia positivamente com sua presença e vive com leveza em meio ao caos externo.,"Você é o silêncio que abraça. Sua paz não depende do mundo, mas já transformou muitos sem precisar se impor.",Ser paz é mais profundo que falar sobre ela.,Contato com superfícies quentes e lisas,Flor de lavanda e ylang ylang,Som ambiente com harmonia de sinos e vento,Paisagem ampla e aberta sob o céu azul,Água com pétalas de rosa em infusão
R2Y10B0,A042,Perfil de Anulação Emocional por Crença de Inutilidade,A Voz Que Não Ecoa,"Este perfil revela uma personalidade com sensação constante de não merecimento. Dificuldade em aceitar elogios, reconhecer valor e expressar necessidades.",Você se cala antes mesmo de tentar falar. Acredita que sua dor é pequena demais para importar. Mas uma semente também começa em silêncio.,Você tem valor mesmo quando não acredita nisso.,Toque firme no peito com a mão inteira,Camomila com erva-doce,Sons suaves que aumentam lentamente (crescendo),Imagem de sombra emergindo para a luz,Frutas doces mastigadas devagar
R2Y5B5,A043,Perfil de Controle Emocional por Medo de Rejeição,O Acordo Silencioso,"Pessoa que ajusta suas reações para agradar, por receio de ser rejeitada. O excesso de diplomacia e contenção emocional causa autonegação.","Você tenta ser tudo para todos, mas se esquece de ser você. A sua harmonia não pode custar sua verdade.",Paz que sufoca não é paz — é contrato com a solidão.,Autotoque nos ombros e cruzar os braços em autocontenção,Flor de laranjeira com eucalipto,Sons abafados ou vozes atrás da porta,Cortinas fechadas com luz vazando,Infusão de menta com toque amargo
R2Y6B4,A044,Perfil de Fragmentação Interna por Sobrecarga Sensorial,O Espírito Estilhaçado,"Pessoa que vive em constante estímulo emocional, sem pausas para integrar. Sente tudo ao mesmo tempo e não consegue identificar seus próprios sentimentos com clareza.","Sua alma é como um vitral que quebrou antes de ser montado. Há beleza nas partes, mas você merece ver o quadro inteiro.",A pausa é o que transforma excesso em sabedoria.,Palmas encostadas com foco no calor gerado,Manjerona e lavanda,"Sons interrompidos, seguidos de silêncio",Estilhaços de vidro refletindo luz,Alimento simples: pão fresco ou banana
R2Y7B3,A045,Perfil de Padrão Repetitivo de Autocrítica,O Juiz Interior,Indivíduo com tendência à crítica constante de si mesmo. Altos padrões de exigência interna e baixa compaixão pessoal.,"Você olha para si com uma lupa, mas para os outros com um espelho embaçado. Sua exigência é uma armadura — pesada demais para o coração carregar.",Autoamor não é indulgência — é justiça emocional.,Dedos tocando o queixo em posição de acolhimento,Flor de jasmim e melissa,Som suave de voz guiada dizendo palavras gentis,Rostos sorrindo para o próprio reflexo,Infusão doce com canela e mel
R2Y8B2,A046,Perfil de Melancolia Funcional,O Sol Nublado,Este perfil representa alguém que mantém a rotina apesar de uma tristeza constante e silenciosa. A funcionalidade esconde um vazio interno que raramente é verbalizado.,"Você sorri com os olhos baixos. Cumpre o dia, mas a alma segue em ponto morto. Até as nuvens têm luz — e você também.",Você pode viver e ainda assim escolher florescer.,Toque nos pulsos com massagem leve e circular,Flor de lavanda e casca de limão,Sons de chuva fina no telhado,Paisagem cinza com pontos de cor,Chocolate amargo com toque cítrico
R2Y9B1,A047,Perfil de Isolamento Emocional Voluntário,O Guardião do Silêncio,"Pessoa que se afasta emocionalmente para preservar sua energia ou evitar conflitos. Aparente neutralidade, mas interna sensibilidade elevada e não processada.","Você se retirou do mundo como quem precisa silêncio para respirar. Mas seu silêncio também merece companhia, mesmo que em gestos sutis.","O isolamento pode ser refúgio, mas também pode ser prisão.",Toque leve na nuca com olhos fechados,Pinho e hortelã,Silêncio com ruído branco ao fundo,Porta entreaberta com luz suave passando,Infusão de ervas verdes frescas
R3Y5B4,A048,Perfil de Autoanulação Afetiva,O Que Serve e se Esquece,"Este perfil descreve uma pessoa que vive para suprir as necessidades dos outros, negligenciando suas próprias emoções, desejos e limites.","Você virou casa para todos, mas não sabe onde está sua chave. Cuidar é virtude — mas se anular, não.",Você também é digno do cuidado que oferece.,Mãos entrelaçadas no colo em forma de concha,Melissa e flor de maracujá,Sons de lareira ou fogueira,Mesa posta com uma cadeira vazia,Pão quente com manteiga em silêncio
R3Y6B3,A049,Perfil de Autoexigência Disfarçada de Excelência,O Perfeccionista Cansado,"Indivíduo que apresenta alto desempenho, mas com base em medo de errar, julgamento interno severo e comparação constante com padrões idealizados.","Você chama de excelência o que às vezes é medo. Seu valor não está no que faz perfeito, mas no que realiza com verdade.",A excelência começa quando o medo sai do comando.,Dedos pressionando a testa e depois o peito,Hortelã e cravo,Notas repetidas e aceleradas com pausas conscientes,"Listas, padrões, metas desfocadas",Chá amargo com especiarias aquecidas
R3Y7B2,A050,Perfil de Autoconhecimento Emergente,A Aurora Interior,"Pessoa que começa a perceber suas emoções com clareza. Ainda enfrenta oscilações, mas demonstra capacidade de introspecção e autorregulação inicial.","Você está descobrindo os contornos da sua própria alma. Ainda há sombra, mas a luz já toca seu horizonte interior.",Ver a si mesmo é o início da verdadeira liberdade.,Toque no coração e respiração com consciência,Erva-cidreira e laranja doce,Sons de pássaros ao amanhecer,Luz dourada tocando folhas verdes,Frutas cítricas com toque de mel
R3Y8B1,A051,Perfil de Reconhecimento Emocional Tardio,O Acordar das Ondas,"Indivíduo que, após longos períodos de desconexão emocional, começa a reconhecer suas emoções com leveza e sem julgamento.","Você sentiu a maré voltando, mesmo depois de tantos dias de seca. A água que volta ensina a terra a florescer de novo.",Sentir não é fraqueza — é o início da presença.,Toque nos pulsos com atenção plena,Rosa branca e camomila,Som de mar calmo à distância,Ondas lentas em praia vazia,Infusão de pétalas com toque de mel
R3Y9B0,A064,Perfil de Autoexpressão Emergente,A Voz que Desperta,"Pessoa que começa a se permitir falar, nomear e expressar sentimentos e limites. Em fase inicial de verbalização emocional com autenticidade.",Você começou a dizer aquilo que antes só sentia. Sua voz não precisa ser alta para ser verdadeira — basta que venha do centro.,Sua verdade tem som. Deixe-a ecoar.,Toque com a ponta dos dedos na garganta,Menta e flor de laranjeira,Sons de voz sendo testada em eco,Boca entreaberta com som em formação,Gengibre com limão em infusão morna
R4Y4B4,A065,Perfil de Despertar Intuitivo Inicial,A Centelha que Escuta,"Indivíduo que começa a reconhecer sua intuição como recurso real. Ainda tímido em confiar plenamente, mas já percebe conexões internas que guiam escolhas sutis.",Você começou a ouvir algo que não vem da mente. Um sussurro discreto que aponta direções com mais verdade do que lógica.,A intuição é a voz da alma falando com ternura.,Toque leve com o indicador entre as sobrancelhas,Louro e flor de lavanda,Sons suaves com ecos profundos,Luz tênue saindo do centro de uma flor,Infusão de folha de pitanga com gotas de mel
R4Y5B3,A066,Perfil de Redescoberta do Propósito Pessoal,O Reencaminhado,Pessoa que passa a reavaliar suas escolhas e valores em busca de sentido mais profundo. Questiona antigas estruturas e começa a se reposicionar.,"Você parou para perguntar: 'É isso mesmo que eu quero viver?'. E nesse silêncio, uma nova rota começou a se desenhar.",O propósito nasce quando a alma recusa o piloto automático.,Toque no coração com palma aberta,Manjericão e cedro,Sons de passos ecoando em templo vazio,Caminho que bifurca entre montanhas,Água fresca com ramo de alecrim
R4Y6B2,A067,Perfil de Superação de Vínculos Emocionais Tóxicos,O Elo Quebrado,"Indivíduo que começa a se libertar de padrões relacionais que limitavam seu crescimento. Ainda sente culpa ou dúvida, mas prioriza sua verdade interna.","Você rompeu o elo que te mantinha preso. Dói, mas há uma leveza nova que já começa a nascer entre os escombros.",Romper pode ser um ato de amor-próprio.,Dedos entrelaçados sendo soltados devagar,Cravo e erva-cidreira,Som de corrente se partindo e vento suave depois,Corrente quebrada sob luz suave,Chá amargo com toque de doçura no final
R4Y7B1,A068,Perfil de Reintegração de Partes Negadas,O Inteiro que Retorna,Pessoa que passa a acolher traços rejeitados de sua personalidade com aceitação e compaixão. Caminha rumo à integração psicoespiritual.,"Você reencontrou partes suas que havia deixado para trás. Agora, começa a juntar as peças do seu todo com amor e sem pressa.",Voltar para si é a maior reconciliação possível.,Mãos tocando alternadamente o rosto e o peito,Flor de lótus e sândalo claro,Sons ascendentes de cordas com silêncio ao final,Espelho trincado sendo restaurado,Infusão leve de flores com anis
R4Y8B0,A069,Perfil de Abertura à Vulnerabilidade Consciente,O Desarme Sagrado,"Pessoa que começa a permitir-se sentir e compartilhar suas emoções com mais verdade, mesmo diante do medo de julgamento.","Você está aprendendo que vulnerabilidade não é fraqueza — é abertura. E nesse gesto, há mais força do que em qualquer escudo.",Baixar a guarda é abrir o coração para o real.,Mãos apoiadas no peito com leve pressão,Rosa e camomila,Notas suaves que crescem em harmonia,Flor se abrindo sob luz natural,Chá de pétalas com toque adocicado
R5Y5B2,A070,Perfil de Transição do Medo para a Confiança,O Degrau Invisível,"Indivíduo que enfrenta o medo de agir, mas decide seguir com base na fé interna. Está no limiar entre o velho padrão e o novo passo.",Você não viu o chão — e ainda assim pisou. Seu movimento é fé em forma de corpo.,A confiança nasce quando você age sem todas as certezas.,Ponta dos pés tocando o chão com olhos fechados,Verbena e flor de limão,Som de passos firmes ecoando suavemente,Escada com degraus invisíveis,Água com infusão de folhas verdes
R5Y6B1,A071,Perfil de Conexão Consagrada com a Voz Interior,O Eco que Retorna,Pessoa que silencia ruídos externos para ouvir sua intuição com clareza. A relação consigo mesmo passa a ser prioridade espiritual.,"Você buscou no mundo e descobriu que a resposta sempre esteve dentro. Agora, a escuta virou templo.",O que vem de dentro não engana.,Mãos cruzadas sobre o umbigo em respiração profunda,Sálvia branca e alfazema,Silêncio com eco interno profundo,Espelho d’água refletindo céu limpo,"Infusão de ervas purificadoras (alecrim, louro)"
R5Y7B0,A072,Perfil de Retorno à Essência Perdida,O Caminho de Volta,"Indivíduo que, após longas desconexões, retoma contato com seus valores originais e desejos autênticos. Há cura da identidade espiritual.","Você se perdeu para aprender a se reencontrar. E agora cada passo é um reencontro com o que te faz ser, sem esforço.",Voltar para si é mais sagrado do que encontrar algo fora.,"Toque entre as costelas com ambas as mãos, respiração leve",Cedro e jasmim,Melodia que inicia e retorna ao tom inicial,Trilha que faz curva e retorna ao ponto de luz,Chá morno de maçã com canela
R6Y6B0,A073,Perfil de Consagração Interior Progressiva,O Solo Fértil,Indivíduo em fase de germinação de virtudes profundas. A alma começa a florescer em silêncio e solidez.,"Você silenciou o mundo para ouvir a raiz crescer. Em você, a semente virou promessa.",Florescer é um verbo que começa no escuro.,Mãos fechadas como semente sob o coração,Terra úmida e flor branca,Sons graves de batimentos e pulsação lenta,Broto nascendo entre folhas secas,Infusão de folhas e raízes suaves
