codigo,polaridade,nivel_estado,sinal_comportamental,esfera_familiar,esfera_social,esfera_profissional,esfera_individual
SE01,escravidao x servidão ao propósito,Entrega ao Todo,Serve por amor e liberdade plena,Cuida da família com doação serena,Se doa aos amigos com leveza e fé,"Trabalha como missão, não obrigação","Ama sem cobrança, com liberdade sagrada"
SE02,escravidao x servidão ao propósito,Serviço Cósmico,Age com devoção ao bem coletivo,Serve silenciosamente em todas as tarefas,Apoia causas e pessoas com energia leve,Vê o trabalho como canal de cura coletiva,Serve ao outro como expressão da alma
SE03,escravidao x servidão ao propósito,Missão de Vida,Sente alegria em ser útil,Cumpre funções familiares com prazer,Está sempre disponível de coração,É referência de dedicação e amor pelo que faz,Faz do relacionamento uma missão
SE04,escravidao x servidão ao propósito,Vocação,Faz bem feito com sentido e verdade,Realiza tarefas com sentido familiar,Ajuda com entusiasmo os que o cercam,Desempenha com clareza seu papel,Constrói junto com entrega afetiva
SE05,escravidao x servidão ao propósito,Propósito,Tem clareza de sua entrega,Está presente no que faz em casa,Traz intenção para ações simples,Alinha tarefas ao bem maior,Entende a relação como jornada conjunta
SE06,escravidao x servidão ao propósito,Dedicação,"Trabalha duro, mas já sente peso","Entrega constante, mas cansada","Ajuda, mas espera reconhecimento",Cumpre com esforço contínuo,"Serve ao outro, mas esquece de si"
SE07,escravidao x servidão ao propósito,Compromisso,Sente-se preso por promessas,Faz por obrigação e não por amor,Mantém-se em grupos por lealdade vazia,Executa sem brilho por causa do contrato,Está na relação por compromisso moral
SE08,escravidao x servidão ao propósito,Rotina,Cumpre por inércia,Faz sempre o mesmo em casa,Segue as programações sociais sem prazer,Reproduz tarefas no automático,Mantém a relação por hábito
SE09,escravidao x servidão ao propósito,Dependência Leve,Sente que precisa ser útil para ser amado,Ajuda esperando ser aceito,Se envolve demais por medo de rejeição,Assume mais do que pode por insegurança,Entrega-se sem receber de volta
SE10,escravidao x servidão ao propósito,Servidão Leve,Não sabe dizer não,Se sobrecarrega para manter a paz,Faz tudo para manter amizades tóxicas,Trabalha sem limites saudáveis,Está na relação por medo de abandono
SE11,escravidao x servidão ao propósito,Dependência,Fica por necessidade emocional,Ajuda mesmo sendo maltratado,Se envolve em relações abusivas,Aceita humilhações no trabalho,Depende do parceiro para existir
SE12,escravidao x servidão ao propósito,Escravidão Emocional,Perde a autonomia por completo,É manipulado constantemente na família,Obedece sem questionar,Submete-se a ordens sem dignidade,Não tem liberdade emocional no vínculo
SE13,escravidao x servidão ao propósito,Escravidão Total,"Não vive para si, vive como objeto",É tratado como servo pelos familiares,Vira fantoche dos grupos sociais,Não tem escolha no que faz,Existe apenas para agradar o outro
BC01,benção x maldição,Graça Divina,Vive sob proteção e abundância espiritual,Família floresce em paz e gratidão,Irradia bênçãos por onde passa,Multiplica tudo o que toca com fé,É fonte de luz e paz no relacionamento
BC02,Benção x maldição,Proteção Celestial,Presença que protege e fortalece,É referência de amparo e harmonia,Traz segurança e equilíbrio aos amigos,Gera estabilidade ao redor com postura,Ampara e eleva o outro nos momentos difíceis
BC03,Benção x maldição,Favor Divino,Tudo coopera para o bem,Os vínculos prosperam com amor,Tem amizade fiel e duradoura,É lembrado por gerar oportunidades,Faz crescer o amor com presença e verdade
BC04,Benção x maldição,Inspiração Superior,É exemplo e motivação sem falar muito,Inspira a união da família pelo exemplo,Leva outros a sonhar e realizar,Gera movimento positivo nas equipes,Faz o outro desejar ser melhor
BC05,Benção x maldição,Florescimento,Vibração que fertiliza tudo ao redor,Melhora os ambientes apenas estando presente,Traz alegria e cura para os grupos,Conecta metas com realização real,Faz o amor florescer de forma constante
BC06,Benção x maldição,Fertilidade Existencial,"Atrai ideias, pessoas e realizações",Atrai harmonia no convívio,Facilita reconciliações sociais,Cria soluções viáveis com leveza,Reinventa o vínculo com carinho e visão
BC07,Benção x maldição,Equilíbrio Neutro,Nem atrai nem repele bênçãos,"Mantém a família estável, sem novidades","Não interfere, nem atrapalha",Cumpre o papel com funcionalidade,"Relação se mantém sem paixão, mas sem crise"
BC08,Benção x maldição,Estagnação,"Nada piora, mas nada evolui",Ambiente familiar morno e repetitivo,Círculos sociais parados no tempo,"Ideias estagnadas, sem criatividade",Relação gira em torno do mesmo ciclo
BC09,Benção x maldição,Sombra Latente,Tensão que anuncia problemas,Discussões começam a surgir com frequência,Invejas e mal-entendidos se acumulam,Resultados caem sem razão clara,Sentimento de distanciamento afetivo
BC10,Benção x maldição,Vazio Crescente,Sensação de ausência e perda,Sensação de solidão mesmo com companhia,Amizades se desfazem com facilidade,Projetos são abandonados sem motivo,O amor perde intensidade
BC11,Benção x maldição,Maldição Incipiente,Fatos estranhos e repetitivos,Conflitos sem fim dentro de casa,Romances ou sociedades fracassam sem explicação,Prejuízos recorrentes em áreas importantes,Ciclo de dor começa a se instalar
BC12,Benção x maldição,Torção do Destino,Tudo que se planeja dá errado,Família entra em crise profunda,Perde conexões verdadeiras,"Fracassos se acumulam, mesmo com esforço",Relacionamentos terminam sem causa lógica
BC13,Benção x maldição,Perdição Eterna,Desconexão total com a fonte da vida,"Lares destruídos, ódio e separações",Amizades viram ódio ou indiferença,Ambiente tóxico e doentio,Amor se transforma em prisão e sofrimento
FE01,fé x descrença,União Mística,Fé viva e inabalável em conexão com o divino,Guia a família com base espiritual sólida,Fortalece todos com presença de fé,Enxerga propósito em cada desafio,Ama com entrega e confiança total
FE02,fé x descrença,Fé Transcendental,Acredita mesmo sem ver,Ensina esperança nos momentos difíceis,Faz orações e encoraja os amigos,Segue com fé mesmo sem retorno imediato,Confia no plano do relacionamento
FE03,fé x descrença,Certeza Inabalável,Convicção profunda sem arrogância,É firme em valores mesmo sob críticas,Expõe sua fé com amor e equilíbrio,Decide com coragem baseada em fé,Confia no vínculo e em sua reconstrução
FE04,fé x descrença,Confiança Absoluta,"Entrega sem medo, com paz",Confia nos processos familiares,Dá suporte sem exigir provas,Se entrega a metas elevadas sem dúvida,Crê no potencial do parceiro com firmeza
FE05,fé x descrença,Fé Ativa,Coloca fé em ação cotidiana,Participa com fé nas decisões do lar,Demonstra fé nos outros com atitudes,Faz da profissão uma missão com fé,"Reza junto, decide junto, caminha junto"
FE06,fé x descrença,Crença Sólida,Tem fundamentos claros e estáveis,Segue rituais com constância,Defende sua fé sem impor,Usa valores espirituais como base ética,Sustenta a rotina com fundamentos firmes
FE07,fé x descrença,Dúvida Saudável,Questiona sem abandonar a fé,Conversa sobre questões espirituais com respeito,Escuta outras opiniões,Busca respostas com mente e coração abertos,Fala de incertezas com maturidade
FE08,fé x descrença,Ceticismo Neutro,Não crê nem descrê,Aceita que outros creiam,Evita discussões religiosas,Trabalha sem pensar em propósitos maiores,Relaciona-se sem pensar no transcendente
FE09,fé x descrença,Desconfiança,Suspeita dos caminhos espirituais,"Duvida de líderes, de ritos e intenções",Ri de práticas de fé dos amigos,Desacredita de propósitos superiores,Desconfia das intenções do outro na relação
FE10,fé x descrença,Ceticismo Cínico,Zomba da fé alheia,Desvaloriza ensinamentos familiares,Provoca debates vazios por vaidade,"Crê apenas no material, sem abertura",Critica quem crê como se fosse fraco
FE11,fé x descrença,Negação Ativa,Age contra tudo que remete à fé,Impede rituais em casa,Rompe vínculos por desacordo espiritual,Sabota iniciativas com base espiritual,Faz o parceiro abandonar crenças importantes
FE12,fé x descrença,Revolta Existencial,Rejeita Deus e a existência como castigo,Culpa a espiritualidade por traumas,Afasta todos que falam de fé,Destrói o simbólico nos ambientes,Diz que o amor é ilusão ou prisão espiritual
FE13,fé x descrença,Desespero Absoluto,Perde toda esperança na vida,Entra em colapso emocional sem sentido,Rompe todos os vínculos com a fé,Abandona a si mesmo e ao propósito,Destrói a relação com desespero e abandono
SA01,sabedoria x ignorância,Consciência Universal,"Sabe com humildade, percebe o todo",Conduz a família com sabedoria silenciosa,Orienta amigos com discernimento profundo,Toma decisões com visão ampla,Conduz a relação com consciência espiritual
SA02,sabedoria x ignorância,Sabedoria Suprema,"Sabe calar, sabe agir no tempo certo",Dá conselhos apenas quando solicitado,Escuta mais do que fala,Planeja com sabedoria e empatia,Respeita o processo do outro
SA03,sabedoria x ignorância,Iluminação,Traz clareza espiritual e emocional,Clareia conflitos familiares com luz interior,Ajuda outros a se perceberem,Ilumina o caminho da equipe com propósito,Vê o parceiro como espelho de evolução
SA04,sabedoria x ignorância,Sabedoria Profunda,Reflete antes de reagir,Analisa situações familiares com profundidade,É ponderado em conflitos sociais,Evita julgamentos no ambiente profissional,Sabe quando ceder e quando firmar limites
SA05,sabedoria x ignorância,Conhecimento Sábio,Sabe muito e compartilha com simplicidade,Ensina com paciência no ambiente doméstico,Compartilha saberes com humildade,Treina e orienta com empatia,Explica sem arrogância ao parceiro
SA06,sabedoria x ignorância,Inteligência Superior,Entende o invisível por trás do visível,Percebe padrões familiares ocultos,Lê além das palavras nas amizades,Capta dinâmicas sutis na equipe,Percebe os sentimentos não ditos
SA07,sabedoria x ignorância,Aprendizado,Está sempre aberto a aprender,Admite que errou com os filhos,Muda de opinião com naturalidade,Aceita críticas e se adapta,Acompanha o crescimento do outro
SA08,sabedoria x ignorância,Informação,Acumula saber técnico e prático,Corrige sem profundidade espiritual,Dá bons conselhos sem vivê-los,Aplica técnicas sem propósito,"Fala bem, mas vive pouco o que diz"
SA09,sabedoria x ignorância,Distração,Esquece valores e verdades importantes,Deixa conversas importantes para depois,Desvia o foco em rodas de conversa,Erra por falta de atenção,Deixa o essencial passar despercebido
SA10,sabedoria x ignorância,Ignorância,Não conhece e não busca saber,Repete padrões familiares nocivos,Reproduz frases feitas sem reflexão,Evita aprender com experiências,Não enxerga o impacto das próprias ações
SA11,sabedoria x ignorância,Ilusão,Acredita em conceitos falsos e distorcidos,Faz promessas baseadas em fantasias,É influenciado facilmente,Cria metas irreais e vive de aparências,Idealiza o outro sem fundamento
SA12,sabedoria x ignorância,Estupor,Confusão constante entre certo e errado,Toma decisões impulsivas e sem noção,Se contradiz em falas e ações,Mistura sentimentos e julgamentos no trabalho,Desorienta a relação com atitudes incoerentes
SA13,sabedoria x ignorância,Ignorância Total,Rejeita todo saber e promove a escuridão,Despreza aprendizado e evolução familiar,Recusa escuta ou diálogo,Afirma verdades falsas com veemência,Sufoca o outro com arrogância e cegueira
OB01,obediência x pecado,União com o Divino,Obedece a princípios espirituais com amor e entrega,Vive a espiritualidade no lar com coerência,Irradia fé e respeito pelos valores coletivos,Honra a missão com disciplina interior,Mantém votos espirituais com o cônjuge
OB02,obediência x pecado,Devoção Absoluta,Serve ao bem superior com constância,Prioriza a harmonia espiritual da família,Sustenta compromissos espirituais com o grupo,"Escolhe o certo, mesmo em silêncio",Vive fidelidade ao propósito com o parceiro
OB03,obediência x pecado,Obediência por Fé,Segue o certo mesmo sem entender tudo,Ensina valores com doçura e firmeza,Aceita o processo com humildade,Age de forma íntegra mesmo sob pressão,Confia mesmo quando há dor ou dúvida
OB04,obediência x pecado,Lealdade Inabalável,Fiel aos compromissos assumidos,Cumpre acordos familiares com lealdade,É presença firme nos vínculos sociais,Sustenta compromissos com ética,Mantém palavra e promessas com firmeza
OB05,obediência x pecado,Fidelidade,Cumpre deveres com constância,Ajuda e participa ativamente do cuidado do lar,Não quebra alianças de convivência,Faz o necessário com boa vontade,Preserva a confiança mútua
OB06,obediência x pecado,Respeito,Obedece a limites e acordos estabelecidos,Não ultrapassa fronteiras emocionais,Evita conflitos respeitando o espaço alheio,Cumpre normas sem rebeldia velada,Mantém diálogo respeitoso
OB07,obediência x pecado,Cumprimento,"Cumpre, mas sem motivação profunda","Faz por obrigação, sem conexão real",Segue regras sem envolvimento afetivo,Cumpre prazos sem engajamento,Mantém rotina sem presença emocional
OB08,obediência x pecado,Conformidade,Segue normas para evitar punições,Evita confrontos apenas para não ser punido,Age por pressão social,Faz o mínimo para evitar repreensão,Finge concordância para evitar discussões
OB09,obediência x pecado,Submissão,Anula-se para não desagradar,Obedece a tudo sem questionar,Cede para manter vínculos disfuncionais,Não expressa opinião por medo,Tolera abusos por dependência emocional
OB10,obediência x pecado,Rebeldia,Desobedece por desafio ou vaidade,Contraria normas familiares com orgulho,Desrespeita acordos de grupo propositalmente,Rompe com normas de convivência,Fere vínculos por impulso
OB11,obediência x pecado,Desobediência,Recusa o bem por indiferença,Sabota valores do lar conscientemente,Age com desdém às necessidades do outro,Descumpre compromissos intencionais,Age contra o combinado com descaso
OB12,obediência x pecado,Traição,Rompe alianças sagradas com frieza,Destrói laços familiares por prazer ou egoísmo,Ataca vínculos sociais em segredo,Sabota e manipula intencionalmente,Quebra promessas profundas no amor
OB13,obediência x pecado,Pecado Capital,Vive em negação e desprezo aos princípios espirituais,Inverte valores familiares e despreza a fé,Promove desordem nas redes sociais ou grupos,Causa destruição de propósito profissional,Desdenha do amor e da espiritualidade conjugal
VI01,virtude x poder,Graça Iluminada,Poder fluindo através da virtude pura,Guia a família com espírito de serviço,Transforma grupos com compaixão ativa,Lidera com humildade e sabedoria,Ama com poder desinteressado
VI02,virtude x poder,Virtude Transcendente,Virtude molda atitudes e escolhas,Dá exemplo moral no lar,É fonte de sabedoria e prudência,Escolhe o bem comum em decisões difíceis,Vive com grandeza sem exigir controle
VI03,virtude x poder,Excelência Moral,"Postura íntegra, mesmo com poder disponível",Não abusa da autoridade familiar,Não manipula vínculos com influência,Usa a liderança com justiça e modéstia,Equilibra influência e bondade no amor
VI04,virtude x poder,Retidão,Poder é exercido com ética e equidade,Defende valores familiares sem opressão,É coerente mesmo em posição de destaque,Mantém limites justos em equipes,"Não domina o outro, mesmo sendo forte"
VI05,virtude x poder,Honra,Busca o certo mesmo com sacrifício pessoal,Honra compromissos familiares,Mantém a palavra com os amigos,Faz o certo mesmo se perder influência,Valoriza o amor acima da vantagem
VI06,virtude x poder,Integridade,Usa o poder com responsabilidade,Assume erros em casa com maturidade,Não ostenta vitórias,Evita manipulações para se promover,"Governa com verdade, mesmo nas falhas"
VI07,virtude x poder,Autodomínio,Controla impulsos de dominação,Evita gritar ou ameaçar familiares,Evita sarcasmo ou ironia em discussões,Tem paciência em disputas de liderança,Recua ao perceber que está pressionando
VI08,virtude x poder,Autopreservação,Poder usado para defesa pessoal,Faz exigências emocionais por proteção,Usa argumentos para garantir atenção,Faz exigências que favorecem apenas a si,Exige cuidado em excesso por insegurança
VI09,virtude x poder,Manipulação Sutil,Controla indiretamente com afeto e medo,Emocionalmente chantagista com filhos ou pais,Se faz de vítima para comandar amigos,Cria ambientes emocionalmente instáveis,Usa fragilidade como ferramenta de controle
VI10,virtude x poder,Abuso Leve,Impõe vontades de forma disfarçada,Controla decisões sem diálogo aberto,Faz escolhas por todos sem consultar,Centraliza decisões em si,Diz 'é pro seu bem' para manter o poder
VI11,virtude x poder,Manipulação,Usa o outro para conquistar domínio,Condiciona amor a obediência,Afasta pessoas que não seguem ordens,Promove divisão para manter o controle,Usa ciúmes e regras para dominar
VI12,virtude x poder,Corrupção,Torce a verdade e os princípios para manter poder,Mente para proteger imagem familiar,Distorce verdades para influenciar,Falsifica resultados para manter cargo,Desvirtua o amor para garantir obediência
VI13,virtude x poder,Tirania,"Poder como fim em si mesmo, sem ética",Impõe medo e obediência pela força,Gera pânico emocional em círculos próximos,Exerce domínio absoluto com punições,Violenta afetivamente para se manter no controle
OF01,oferta x demanda,Doação Cósmica,Oferece tudo sem esperar retorno,Se entrega aos familiares sem limites egoístas,Serve aos amigos com alma e generosidade,Entrega tempo e dons sem barganha,Ama oferecendo-se integralmente
OF02,oferta x demanda,Oferta Sagrada,Dá o que tem de melhor com intenção pura,"Faz refeições, presentes e gestos com carinho profundo",Doa energia sem esperar gratidão,Faz além do esperado sem autopromoção,Cuida do parceiro com entrega verdadeira
OF03,oferta x demanda,Generosidade Pura,Dá com espontaneidade e contentamento,Apoia financeiramente ou emocionalmente com leveza,Compartilha recursos com alegria entre amigos,Divide ferramentas e oportunidades no trabalho,Ajuda no que pode com prazer no cotidiano afetivo
OF04,oferta x demanda,Dar sem Esperar,Entrega e se retira com paz,Oferece atenção e cuidado sem exigir retorno,Faz favores sem criar vínculos de dívida,Compartilha sem controle ou pressão,Demonstra amor sem querer controle sobre o outro
OF05,oferta x demanda,Compartilhamento,Divide o que tem de forma saudável,Inclui todos nos momentos e bens da família,Divide espaços e alimentos com harmonia,"Compartilha resultados, créditos e vitórias",Constrói a dois com equilíbrio e leveza
OF06,oferta x demanda,Oferta Generosa,"Dá o que tem, mas espera reconhecimento",Dá presentes e depois cobra gratidão,"Ajuda os outros, mas fala disso com frequência",Espera elogios por colaborar,"Oferece com coração, mas quer validação"
OF07,oferta x demanda,Reciprocidade,Oferece apenas se for retribuído,Ajuda familiares com base no 'quem fez o quê',Só ajuda amigos que ajudam de volta,Entrega-se com expectativa clara de retorno,Calcula afeto e entrega conforme retorno
OF08,oferta x demanda,Troca Equitativa,Relação baseada no equilíbrio exato,Divide tarefas milimetricamente em casa,Mantém trocas frias e racionais,Só colabora se estiver no contrato,Equilibra afeto com cobrança sutil
OF09,oferta x demanda,Expectativa,Espera sempre mais do que oferece,"Faz pequenas ações, mas exige grandes retornos",Reclama do esforço alheio constantemente,"Foca no quanto deu, mas nunca no que recebe","Exige emocionalmente, mesmo dando pouco"
OF10,oferta x demanda,Cobrança Leve,Lembra constantemente o que fez,Diz frases como 'olha tudo que eu faço por vocês',Cobra por atitudes passadas,Trabalha esperando reconhecimento visível,Joga no outro a dívida afetiva constantemente
OF11,oferta x demanda,Exigência,"Quer tudo, mesmo sem merecimento",Exige cuidado sem oferecer presença,Quer atenção plena sem doar tempo,Espera aplausos por mínimos esforços,Cobra entrega total mesmo sendo ausente
OF12,oferta x demanda,Exploração,Usa os outros como meios para si,Explora emocionalmente os mais próximos,Faz doações com segundas intenções,Exige favores como se fossem obrigações,Manipula com carência ou ameaça emocional
OF13,oferta x demanda,Extorsão,Exige de forma abusiva e destrutiva,Chantageia familiares afetivamente,Condiciona amizades ao ganho pessoal,Faz ameaças emocionais ou financeiras no trabalho,Força o outro a entregar-se sem respeito
VD01,vida x morte,Vida Eterna,Vive como alma eterna com propósito superior,Ama com profundidade e sacralidade,Leva presença viva aos encontros,Atua como fonte de propósito coletivo,Nutre a relação como missão divina
VD02,vida x morte,Vitalidade Espiritual,Irradia força vital e esperança,Revigora o ambiente familiar,Reanima grupos com entusiasmo espiritual,Traz vida à missão profissional,Torna a relação um espaço de cura e crescimento
VD03,vida x morte,Saúde Radiante,"Reflete saúde física, mental e espiritual",Cuida da saúde de si e dos familiares,Incentiva hábitos saudáveis entre amigos,Cuida do corpo como templo no trabalho,Investe em bem-estar mútuo com o parceiro
VD04,vida x morte,Energia Vital,Flui em movimento constante e equilibrado,Motiva a família com alegria e ação,Move e inspira atividades em grupo,Tem iniciativa criativa constante,Vibra positividade e ação dentro da relação
VD05,vida x morte,Vitalidade,Mantém disposição e ânimo no cotidiano,Participa ativamente das rotinas domésticas,Topa encontros sociais e propõe ações,Cumpre tarefas com energia suficiente,Anima a convivência com leveza e presença
VD06,vida x morte,Bem-estar,Se sente bem e busca equilíbrio pessoal,Cuida de si sem abandonar os outros,Faz pausas saudáveis com amigos,Mantém qualidade de vida equilibrada,Divide responsabilidades e autocuidado
VD07,vida x morte,Existência,"Sobrevive sem brilho, faz o mínimo","Está presente, mas sem entusiasmo familiar",Aparece por obrigação em eventos,Trabalha no automático,"Está com o outro, mas sem iniciativa ou emoção"
VD08,vida x morte,Sobrevivência,Conserva a si mesmo com esforço contínuo,Evita desmoronar diante da família,Resiste com cansaço às pressões sociais,Sobrevive ao dia a dia profissional com exaustão,Preserva o vínculo sem entusiasmo ou paixão
VD09,vida x morte,Fadiga,Cansaço constante e falta de sentido,Desiste de participar das tarefas familiares,Foge de interações sociais simples,Cumpre o necessário com peso e lentidão,Se mostra emocionalmente ausente na relação
VD10,vida x morte,Doença Leve,Problemas frequentes por baixa energia,Vive doente e sem disposição em casa,Adoece por stress social,Apresenta sinais físicos por excesso mental,Doenças psicossomáticas afetam a intimidade
VD11,vida x morte,Enfermidade,Condutas e hábitos autodestrutivos,Autoabandono e negligência com o corpo,Alimenta vícios silenciosos em grupo,Colapsa saúde por falta de limites,Não se cuida e não permite cuidado no amor
VD12,vida x morte,Decadência,"Desconexão física, emocional e espiritual",Não demonstra mais vontade de viver,Desanima e isola a rede de apoio,Desaparece mentalmente do trabalho,Abandona a si mesmo e ao outro com frieza
VD13,vida x morte,Morte,"Destruição física, emocional ou moral",Comete ou provoca destruição familiar,Instiga o fim em ciclos sociais,Sabota projetos e destrói ambientes,"Leva a relação ao colapso, abandono ou fim"
VE01,verdade x mentira,Verdade Cósmica,"Transparência total em palavra, corpo e intenção","Fala apenas o que constrói, mesmo em momentos difíceis",É fonte de verdade nos grupos sociais,Guia decisões com honestidade absoluta,Jamais esconde nada do parceiro
VE02,verdade x mentira,Verdade Absoluta,Verdade dita mesmo com risco pessoal,Não esconde erros ou histórias delicadas,Corrige distorções com coragem,Recusa falsidades nos relatórios e reuniões,Conta a verdade mesmo sob tensão emocional
VE03,verdade x mentira,Integridade Total,Palavra e atitude sempre coerentes,Promete pouco e cumpre tudo,É exemplo de coerência entre amigos,Segue princípios mesmo quando ninguém vê,Age com integridade mesmo sob tentação
VE04,verdade x mentira,Honestidade Radical,Fala verdades que ninguém quer ouvir com amor,Expõe verdades familiares sem humilhar,Confronta omissões em conversas,Assume falhas em equipe com humildade,Admite limites e erros no relacionamento
VE05,verdade x mentira,Transparência Total,Não guarda segredos nem omissões,Divide intenções e emoções sem esconder,Fala sobre tudo com clareza nos círculos sociais,Abre informações relevantes no trabalho,Pratica transparência no convívio íntimo
VE06,verdade x mentira,Sinceridade,Diz o que pensa com empatia,"Opina sem ferir, mas sem fingir",É verdadeiro sem exageros,Evita bajulações e falsas concordâncias,Fala de si com honestidade emocional
VE07,verdade x mentira,Verdade Relativa,Conta sua versão com viés,Oculta nuances que enfraquecem sua posição,Apresenta meias-verdades em histórias,Adapta a verdade para se proteger,"Não mente, mas também não revela tudo"
VE08,verdade x mentira,Fato Neutro,Repete dados sem filtrar ou interpretar,Descreve situações sem análise crítica,Repassa informações como ouviu,Evita se posicionar sobre o certo e o errado,Relaciona-se sem avaliar contextos morais
VE09,verdade x mentira,Meia-verdade,Omissões estratégicas,Evita contar o todo para não gerar conflito,Minimiza sua responsabilidade em conflitos,Ocorre nas reuniões para manter a imagem,Finge não saber quando seria necessário intervir
VE10,verdade x mentira,Omissão,Deixa de contar o essencial por conveniência,Silencia verdades familiares por medo,Evita diálogo difícil com amigos,Esconde erros para manter reputação,Oculta algo importante do parceiro
VE11,verdade x mentira,Mentira Branca,Mentiras consideradas socialmente aceitáveis,Diz que está tudo bem quando não está,Finge interesse para manter amizade,Diz 'está resolvido' sem resolver,Evita dizer a verdade para não ferir o outro
VE12,verdade x mentira,Engano,Distorce com consciência para manipular,Altera fatos familiares a seu favor,Inventa histórias para se proteger,Usa falsas justificativas no ambiente de trabalho,Faz o outro acreditar em algo falso
VE13,verdade x mentira,Mentira Destrutiva,Cria realidades falsas para prejudicar,Espalha boatos que geram rupturas familiares,Mentiras que causam prejuízos sociais,Falsificação intencional de dados e falas,Traição emocional sustentada por mentira
BM01,bem x mal,Santidade Divina,Vive para fazer o bem sem esperar retorno,Inspira a família com atitudes sagradas,Irradia paz e inspiração em todos os encontros,Trabalha com altruísmo radical,Ama sem ego e age com pureza
BM02,bem x mal,Amor Incondicional,Ajuda mesmo quem o feriu,Perdoa sem restrição e protege os seus,É fonte de acolhimento incondicional,Apoia colegas com generosidade constante,Ama o outro sem cobrar nada
BM03,bem x mal,Bondade Angelical,Faz o bem espontaneamente,Cuida da família com ternura sem ser solicitado,Acolhe todos com empatia sincera,Atua com gentileza acima da média,Demonstra bondade diária ao parceiro
BM04,bem x mal,Compaixão Universal,Sofre com o outro e estende a mão,Acolhe dores familiares mesmo sem entender,Participa de causas e apoia injustiçados,Defende os mais frágeis em sua equipe,Consola mesmo quando também está ferido
BM05,bem x mal,Benevolência Ativa,Pratica boas ações com consciência,Gera pequenos atos de bondade cotidiana,Coopera com amigos mesmo sob cansaço,Faz além do esperado no trabalho,Cuida com atenção dos detalhes afetivos
BM06,bem x mal,Gentileza Essencial,Trato respeitoso em todo contexto,Fala com educação e escuta com empatia,Não ofende nem em brincadeiras,Mantém gentileza mesmo sob pressão,Trata o parceiro com civilidade constante
BM07,bem x mal,Neutralidade Positiva,"Não causa danos, mas evita envolvimento",Fica neutro em conflitos familiares,Ouve mas não interfere nos problemas alheios,"Executa bem, mas sem iniciativa altruísta","Mantém relação estável, porém distante"
BM08,bem x mal,Indiferença,Ignora sofrimentos e não se compromete,Evita conversas difíceis ou demandas emocionais,Age como se os problemas não fossem seus,Cumpre tarefas sem se importar com o impacto,Deixa o outro sozinho nos momentos cruciais
BM09,bem x mal,Egoísmo Leve,Faz apenas o que o beneficia discretamente,"Ajuda quando convém, se não atrapalha",Escolhe amigos por vantagem emocional,Colabora só se receber crédito,Demonstra afeto por conveniência
BM10,bem x mal,Indiferença Egoísta,Finge que não vê quem precisa de ajuda,Evita familiares doentes ou frágeis,Some quando há crise em amizades,Ignora demandas urgentes de colegas,Trata o outro como fardo emocional
BM11,bem x mal,Egoísmo Ativo,Age ativamente em benefício próprio,Prioriza desejos pessoais acima da família,Manipula relações sociais por ganho,Passa por cima de colegas para subir,Usa a relação para obter vantagens
BM12,bem x mal,Malícia,Faz o mal com disfarces sutis,Fere emocionalmente familiares com ironias,Sabota amigos com falsidade educada,Age com dupla face no trabalho,Controla e machuca o parceiro psicologicamente
BM13,bem x mal,Mal Absoluto,Gera sofrimento intencional e sente prazer,"Humilha, destrói, ou rompe vínculos por prazer",Ataca e manipula com frieza e crueldade,Espalha destruição emocional no ambiente,Agride e domina com perversidade total
